max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.112,-0.043,0.069,0.155,0.146,-0.088,0.058,0.234,0.16,-0.06,0.1,0.22,0.158,-0.09,0.068,0.248,0.002,-0.004,-0.002,0.006,0.003,-0.003,0.0,0.006
0.146,-0.106,0.04,0.252,0.088,-0.081,0.007,0.169,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005,0.134,-0.096,0.038,0.23,0.102,-0.09,0.012,0.192
0.14,-0.113,0.027,0.253,0.092,-0.1,-0.008,0.192,0.1,-0.064,0.036,0.164,0.042,-0.106,-0.064,0.148,0.051,-0.108,-0.057,0.159,0.116,-0.079,0.037,0.195
0.091,-0.118,-0.027,0.209,0.11,-0.132,-0.022,0.242,0.116,-0.092,0.024,0.208,0.11,-0.102,0.008,0.212,0.001,-0.004,-0.003,0.005,0.002,-0.002,0.0,0.004
0.091,-0.142,-0.051,0.233,0.086,-0.096,-0.01,0.182,0.096,-0.078,0.018,0.174,0.093,-0.065,0.028,0.158,0.002,-0.004,-0.002,0.006,0.001,-0.003,-0.002,0.004
0.16,-0.118,0.042,0.278,0.13,-0.166,-0.036,0.296,0.16,-0.09,0.07,0.25,0.12,-0.068,0.052,0.188,0.001,-0.004,-0.003,0.005,0.003,-0.003,0.0,0.006
0.124,-0.12,0.004,0.244,0.116,-0.088,0.028,0.204,0.084,-0.062,0.022,0.146,0.102,-0.062,0.04,0.164,0.058,-0.146,-0.088,0.204,0.08,-0.09,-0.01,0.17
0.108,-0.057,0.051,0.165,0.094,-0.076,0.018,0.17,0.086,-0.086,0.0,0.172,0.087,-0.094,-0.007,0.181,0.134,-0.099,0.035,0.233,0.096,-0.056,0.04,0.152
0.076,-0.133,-0.057,0.209,0.132,-0.088,0.044,0.22,0.001,-0.003,-0.002,0.004,0.002,-0.003,-0.001,0.005,0.06,-0.098,-0.038,0.158,0.053,-0.085,-0.032,0.138
0.053,-0.162,-0.109,0.215,0.07,-0.084,-0.014,0.154,0.0,-0.005,-0.005,0.005,0.002,-0.003,-0.001,0.005,0.103,-0.106,-0.003,0.209,0.117,-0.104,0.013,0.221
