max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
1.034,-1.081,-0.047,2.115,1.341,-1.46,-0.119,2.801,1.132,-1.288,-0.156,2.42,0.94,-1.008,-0.068,1.948,0.002,-0.003,-0.001,0.005,0.001,-0.004,-0.003,0.005
0.71,-0.77,-0.06,1.48,0.856,-0.79,0.066,1.646,1.097,-1.088,0.009,2.185,1.416,-1.354,0.062,2.77,1.13,-1.214,-0.084,2.344,0.976,-0.974,0.002,1.95
1.111,-1.079,0.032,2.19,1.508,-1.339,0.169,2.847,1.379,-1.155,0.224,2.534,1.05,-1.008,0.042,2.058,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
1.06,-1.077,-0.017,2.137,1.344,-1.394,-0.05,2.738,1.161,-1.242,-0.081,2.403,0.98,-0.93,0.05,1.91,0.002,-0.003,-0.001,0.005,0.003,-0.002,0.001,0.005
1.086,-1.074,0.012,2.16,1.448,-1.411,0.037,2.859,1.178,-1.17,0.008,2.348,0.956,-1.084,-0.128,2.04,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
0.754,-0.875,-0.121,1.629,0.822,-0.884,-0.062,1.706,1.164,-1.154,0.01,2.318,1.468,-1.429,0.039,2.897,1.228,-1.292,-0.064,2.52,1.042,-1.04,0.002,2.082
1.147,-1.145,0.002,2.292,1.405,-1.452,-0.047,2.857,1.216,-1.256,-0.04,2.472,1.016,-1.014,0.002,2.03,0.001,-0.005,-0.004,0.006,0.001,-0.003,-0.002,0.004
1.258,-1.206,0.052,2.464,1.018,-1.046,-0.028,2.064,0.0,-0.004,-0.004,0.004,0.002,-0.002,0.0,0.004,0.832,-0.778,0.054,1.61,0.862,-0.846,0.016,1.708
1.274,-1.246,0.028,2.52,1.026,-1.081,-0.055,2.107,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.795,-0.754,0.041,1.549,0.842,-0.822,0.02,1.664
0.779,-0.754,0.025,1.533,0.818,-0.853,-0.035,1.671,1.056,-1.154,-0.098,2.21,1.39,-1.365,0.025,2.755,1.25,-1.2,0.05,2.45,0.992,-0.967,0.025,1.959
1.093,-1.126,-0.033,2.219,1.333,-1.412,-0.079,2.745,1.105,-1.158,-0.053,2.263,0.927,-0.904,0.023,1.831,0.002,-0.003,-0.001,0.005,0.002,-0.004,-0.002,0.006
1.07,-1.075,-0.005,2.145,1.404,-1.381,0.023,2.785,1.21,-1.095,0.115,2.305,1.012,-0.934,0.078,1.946,0.002,-0.004,-0.002,0.006,0.001,-0.003,-0.002,0.004
1.125,-1.128,-0.003,2.253,1.422,-1.408,0.014,2.83,1.248,-1.175,0.073,2.423,1.014,-1.014,0.0,2.028,0.003,-0.003,0.0,0.006,0.001,-0.004,-0.003,0.005
1.246,-1.14,0.106,2.386,1.036,-0.912,0.124,1.948,0.004,-0.004,0.0,0.008,0.002,-0.003,-0.001,0.005,0.816,-0.694,0.122,1.51,0.826,-0.772,0.054,1.598
1.141,-1.157,-0.016,2.298,1.37,-1.369,0.001,2.739,1.214,-1.226,-0.012,2.44,0.97,-1.032,-0.062,2.002,0.0,-0.004,-0.004,0.004,0.002,-0.004,-0.002,0.006
